Date,StockSymbol,TransactionType,Shares,PricePerShare,TransactionValue
8/1/2022,NKE,Sell,281,760.72,213762.32
8/2/2022,PEP,Buy,39,727.17,28359.63
8/2/2022,BA,Buy,300,969.56,290868
8/2/2022,WMT,Buy,53,269.81,14299.93
8/2/2022,GOOGL,Sell,359,563.33,202235.47
8/3/2022,V,Buy,229,493.31,112967.99
8/4/2022,DIS,Buy,64,692.12,44295.68
8/5/2022,PG,Cash Out,127,58.8,6783.719477
8/5/2022,CRM,Buy,231,127.33,29413.23
8/5/2022,KO,Sell,394,683.02,269109.88
8/9/2022,AMZN,Cash Out,329,146.64,43826.33796
8/9/2022,PEP,Buy,39,578.45,22559.55
8/9/2022,PEP,Sell,481,244.51,117609.31
8/10/2022,AMZN,Buy,343,993.69,340835.67
8/11/2022,V,Cash Out,276,677.4,169840.4406
8/12/2022,DIS,Buy,103,463.91,47782.73
8/15/2022,PYPL,Buy,436,935.91,408056.76
8/16/2022,BA,Sell,212,811.22,171978.64
8/18/2022,V,Sell,393,713.23,280299.39
8/18/2022,MSFT,Sell,182,168.76,30714.32
8/19/2022,ADBE,Sell,324,67.41,21840.84
8/19/2022,DIS,Buy,289,184.4,53291.6
8/22/2022,PG,Buy,438,112.4,49231.2
8/23/2022,PG,Sell,320,199.19,63740.8
8/23/2022,GOOGL,Sell,195,338.5,66007.5
8/24/2022,WMT,Sell,387,132.47,51265.89
8/24/2022,ADBE,Sell,473,823.21,389378.33
8/24/2022,PYPL,Sell,186,898.62,167143.32
8/24/2022,AAPL,Buy,429,575.39,246842.31
8/25/2022,GOOGL,Buy,483,428.1,206772.3
8/25/2022,AMZN,Buy,403,588.49,237161.47
8/26/2022,KO,Buy,460,266.3,122498
8/30/2022,AMZN,Buy,259,581.87,150704.33
9/2/2022,BA,Buy,172,919.69,158186.68
9/2/2022,KO,Cash Out,279,241.4,61182.65266
9/2/2022,DIS,Cash Out,393,874.4,312168.8272
9/2/2022,AAPL,Buy,264,53.19,14042.16
9/5/2022,MSFT,Sell,54,928.62,50145.48
9/7/2022,AMZN,Sell,26,508.82,13229.32
9/8/2022,JPM,Buy,299,511.48,152932.52
9/8/2022,FB,Buy,225,354.13,79679.25
9/12/2022,TSLA,Buy,138,964.93,133160.34
9/13/2022,PEP,Buy,25,347.51,8687.75
9/13/2022,NVDA,Buy,64,565.42,36186.88
9/15/2022,ADBE,Sell,272,129.05,35101.6
9/15/2022,WMT,Buy,286,582.29,166534.94
9/15/2022,DIS,Sell,216,79.77,17230.32
9/16/2022,GOOGL,Buy,16,68.49,1095.84
9/19/2022,PG,Buy,57,493.35,28120.95
9/19/2022,GOOGL,Sell,255,660.38,168396.9
9/20/2022,ADBE,Sell,426,732.06,311857.56
9/21/2022,NKE,Cash Out,216,86.99,17069.0722
9/21/2022,ADBE,Buy,54,936.85,50589.9
9/22/2022,NKE,Buy,134,408.16,54693.44
9/23/2022,NVDA,Buy,498,73.67,36687.66
9/23/2022,CRM,Sell,218,809.36,176440.48
9/26/2022,NKE,Buy,348,718.3,249968.4
9/26/2022,KO,Buy,170,85.72,14572.4
9/26/2022,AAPL,Sell,357,888.08,317044.56
9/26/2022,NFLX,Buy,197,114.43,22542.71
9/26/2022,WMT,Buy,406,765.33,310723.98
9/27/2022,V,Sell,267,176.01,46994.67
9/27/2022,DIS,Buy,20,705.75,14115
9/29/2022,PEP,Buy,351,653.25,229290.75
9/29/2022,CRM,Buy,270,981.5,265005
9/29/2022,CRM,Sell,458,363.71,166579.18
9/30/2022,DIS,Buy,119,381.36,45381.84
10/3/2022,TSLA,Sell,45,908.26,40871.7
10/3/2022,V,Buy,363,668.01,242487.63
10/5/2022,MSFT,Buy,103,406.51,41870.53
10/6/2022,MSFT,Cash Out,302,243.85,66898.52407
10/6/2022,TSLA,Sell,136,119.55,16258.8
10/10/2022,AMZN,Sell,470,447.64,210390.8
10/11/2022,BA,Buy,92,524.88,48288.96
10/11/2022,JPM,Sell,101,448.72,45320.72
10/12/2022,GOOGL,Buy,61,226.71,13829.31
10/13/2022,NVDA,Sell,137,564.34,77314.58
10/14/2022,PEP,Buy,480,826.41,396676.8
10/14/2022,ADBE,Buy,193,279.61,53964.73
10/17/2022,NVDA,Buy,267,684.04,182638.68
10/18/2022,V,Sell,414,995.11,411975.54
10/18/2022,JPM,Sell,384,536.87,206158.08
10/18/2022,CRM,Sell,166,577.29,95830.14
10/18/2022,ADBE,Buy,490,203.01,99474.9
10/19/2022,V,Buy,98,642.53,62967.94
10/19/2022,BA,Buy,395,174.64,68982.8
10/21/2022,NVDA,Buy,272,551.11,149901.92
10/25/2022,JPM,Buy,16,937.88,15006.08
10/25/2022,PYPL,Buy,78,450.2,35115.6
10/26/2022,PG,Cash Out,316,549.98,157877.708
10/26/2022,TSLA,Buy,210,193.9,40719
10/27/2022,JPM,Buy,126,66.88,8426.88
10/28/2022,DIS,Buy,98,791.37,77554.26
10/28/2022,NVDA,Sell,7,899.44,6296.08
10/28/2022,BA,Sell,463,786.79,364283.77
10/31/2022,DIS,Sell,195,60.41,11779.95
11/1/2022,PYPL,Buy,81,156.76,12697.56
11/1/2022,NFLX,Sell,495,545.88,270210.6
11/1/2022,NKE,Cash Out,72,601.58,39347.09911
11/4/2022,GOOGL,Sell,470,97.79,45961.3
11/4/2022,AAPL,Buy,250,60.91,15227.5
11/7/2022,NFLX,Sell,240,527.39,126573.6
11/7/2022,AAPL,Buy,329,451.86,148661.94
11/8/2022,BA,Buy,4,576.31,2305.24
11/9/2022,FB,Buy,101,816.93,82509.93
11/9/2022,PYPL,Sell,127,213.92,27167.84
11/10/2022,JPM,Sell,419,453.34,189949.46
11/10/2022,AAPL,Buy,201,114.69,23052.69
11/11/2022,AMZN,Sell,167,629.47,105121.49
11/11/2022,ADBE,Sell,76,317.77,24150.52
11/16/2022,BA,Buy,10,391.18,3911.8
11/16/2022,CRM,Buy,231,612.54,141496.74
11/17/2022,JPM,Sell,60,911.13,54667.8
11/17/2022,AAPL,Sell,46,695.02,31970.92
11/18/2022,AMZN,Sell,137,541.13,74134.81
11/18/2022,JPM,Buy,447,416.31,186090.57
11/23/2022,NFLX,Cash Out,445,81.79,33063.36509
11/24/2022,PYPL,Sell,415,223.33,92681.95
11/24/2022,AMZN,Buy,75,996.24,74718
11/25/2022,PEP,Buy,437,279.06,121949.22
11/29/2022,KO,Buy,3,714.03,2142.09
12/1/2022,BA,Sell,332,493.41,163812.12
12/1/2022,ADBE,Buy,189,473.31,89455.59
12/2/2022,FB,Buy,140,753.03,105424.2
12/5/2022,NVDA,Cash Out,479,939.07,408620.653
12/5/2022,GOOGL,Sell,118,486.28,57381.04
12/5/2022,NVDA,Sell,476,672.31,320019.56
12/7/2022,CRM,Buy,315,692.59,218165.85
12/7/2022,BA,Buy,364,361.32,131520.48
12/9/2022,AMZN,Buy,393,675.37,265420.41
12/14/2022,GOOGL,Sell,363,166.29,60363.27
12/14/2022,KO,Buy,351,124.88,43832.88
12/15/2022,BA,Buy,11,608.88,6697.68
12/15/2022,NKE,Cash Out,176,591.31,94539.80996
12/15/2022,AAPL,Cash Out,262,854.87,203464.2919
12/19/2022,AAPL,Buy,134,597.72,80094.48
12/22/2022,NKE,Buy,393,992.79,390166.47
12/26/2022,BA,Buy,374,371.6,138978.4
12/27/2022,V,Cash Out,311,149.09,42120.71524
12/28/2022,BA,Sell,139,890.24,123743.36
12/28/2022,PEP,Buy,218,902.38,196718.84
12/29/2022,NVDA,Sell,253,798.88,202116.64
12/29/2022,JPM,Buy,202,904.94,182797.88
12/30/2022,AAPL,Buy,215,99.98,21495.7
12/30/2022,V,Sell,50,600.64,30032
1/2/2023,AMZN,Buy,284,899.7,255514.8
1/3/2023,TSLA,Buy,147,858.51,126200.97
1/4/2023,FB,Buy,47,747.38,35126.86
1/6/2023,NKE,Buy,102,814.19,83047.38
1/6/2023,AMZN,Sell,422,552.64,233214.08
1/11/2023,DIS,Sell,481,237.53,114251.93
1/11/2023,JPM,Buy,73,463.52,33836.96
1/13/2023,WMT,Buy,404,945.26,381885.04
1/13/2023,TSLA,Buy,285,625.03,178133.55
1/13/2023,AMZN,Sell,300,374.02,112206
1/13/2023,CRM,Buy,408,538.81,219834.48
1/16/2023,PG,Sell,424,582.89,247145.36
1/18/2023,KO,Sell,102,567.93,57928.86
1/18/2023,DIS,Buy,113,922.38,104228.94
1/18/2023,NFLX,Sell,436,188.56,82212.16
1/19/2023,PEP,Buy,442,103.47,45733.74
1/19/2023,NKE,Cash Out,391,276.03,98043.74151
1/20/2023,PG,Buy,218,651.86,142105.48
1/20/2023,KO,Buy,346,842.96,291664.16
1/20/2023,PG,Sell,191,584.17,111576.47
1/20/2023,PEP,Sell,3,486.15,1458.45
1/20/2023,ADBE,Sell,455,728.62,331522.1
1/20/2023,NFLX,Sell,299,289.16,86458.84
1/26/2023,JPM,Buy,99,354.29,35074.71
1/27/2023,DIS,Sell,479,234.05,112109.95
1/27/2023,AAPL,Buy,86,124.95,10745.7
1/31/2023,PEP,Buy,143,935.81,133820.83
1/31/2023,CRM,Sell,35,396.54,13878.9
2/3/2023,ADBE,Sell,173,211.45,36580.85
2/6/2023,PYPL,Buy,11,330.93,3640.23
2/6/2023,WMT,Buy,174,241.94,42097.56
2/6/2023,PG,Sell,363,671.76,243848.88
2/7/2023,WMT,Cash Out,403,147.8,54108.60205
2/8/2023,NFLX,Buy,51,730.71,37266.21
2/9/2023,NKE,Sell,172,203.81,35055.32
2/10/2023,BA,Buy,43,728.76,31336.68
2/13/2023,NVDA,Sell,159,704.3,111983.7
2/13/2023,NFLX,Buy,94,266.98,25096.12
2/14/2023,MSFT,Sell,117,989.87,115814.79
2/14/2023,BA,Cash Out,253,280.24,64407.65376
2/15/2023,NVDA,Buy,402,243.83,98019.66
2/16/2023,PG,Sell,204,407.25,83079
2/16/2023,TSLA,Sell,262,851.35,223053.7
2/20/2023,JPM,Buy,393,106.81,41976.33
2/21/2023,JPM,Buy,172,610.94,105081.68
2/22/2023,PYPL,Buy,299,507.18,151646.82
2/23/2023,BA,Buy,449,810.27,363811.23
2/27/2023,KO,Cash Out,213,115.96,22437.50918
3/1/2023,CRM,Sell,392,82.62,32387.04
3/1/2023,KO,Buy,267,316.59,84529.53
3/3/2023,AMZN,Buy,11,345.31,3798.41
3/3/2023,PG,Buy,280,544.8,152544
3/3/2023,PYPL,Cash Out,382,195.92,67987.48382
3/6/2023,MSFT,Buy,52,926.91,48199.32
3/6/2023,ADBE,Buy,189,751.99,142126.11
3/6/2023,NVDA,Sell,94,653.97,61473.18
3/7/2023,MSFT,Sell,90,833.08,74977.2
3/7/2023,NFLX,Buy,319,337.45,107646.55
3/7/2023,MSFT,Sell,238,542.33,129074.54
3/7/2023,DIS,Buy,32,660.22,21127.04
3/8/2023,NVDA,Sell,68,691.29,47007.72
3/8/2023,KO,Buy,98,373.48,36601.04
3/8/2023,NFLX,Buy,191,903.36,172541.76
3/10/2023,AMZN,Buy,381,626.71,238776.51
3/10/2023,AMZN,Buy,180,870.58,156704.4
3/10/2023,CRM,Buy,431,189.1,81502.1
3/13/2023,TSLA,Buy,259,984.05,254868.95
3/14/2023,NKE,Sell,393,450.11,176893.23
3/15/2023,PG,Sell,268,725.99,194565.32
3/16/2023,NFLX,Sell,204,778.91,158897.64
3/17/2023,GOOGL,Buy,395,153.05,60454.75
3/20/2023,FB,Cash Out,130,315.96,37313.18238
3/21/2023,NFLX,Buy,32,258.46,8270.72
3/22/2023,NKE,Buy,41,767.95,31485.95
3/22/2023,FB,Sell,334,582.91,194691.94
3/23/2023,PG,Buy,259,196.69,50942.71
3/23/2023,DIS,Sell,94,167.25,15721.5
3/24/2023,MSFT,Buy,23,366.14,8421.22
3/24/2023,JPM,Sell,364,342.5,124670
3/24/2023,NKE,Buy,81,301.66,24434.46
3/24/2023,FB,Buy,461,109.4,50433.4
3/27/2023,AAPL,Buy,396,332.17,131539.32
3/27/2023,MSFT,Sell,25,630.61,15765.25
3/27/2023,GOOGL,Sell,460,111.55,51313
3/28/2023,CRM,Buy,493,886.81,437197.33
3/28/2023,PYPL,Sell,262,382.33,100170.46
3/29/2023,WMT,Buy,83,310.97,25810.51
3/31/2023,CRM,Buy,75,960.95,72071.25
3/31/2023,AAPL,Buy,108,184.94,19973.52
4/4/2023,PG,Buy,142,975.68,138546.56
4/6/2023,NVDA,Sell,43,607.28,26113.04
4/7/2023,AAPL,Sell,469,802,376138
4/7/2023,V,Buy,245,845.25,207086.25
4/7/2023,PYPL,Sell,211,167.14,35266.54
4/10/2023,FB,Buy,487,882.51,429782.37
4/10/2023,DIS,Sell,351,925.42,324822.42
4/10/2023,DIS,Sell,472,719.3,339509.6
4/10/2023,NVDA,Cash Out,475,184.05,79417.50972
4/10/2023,GOOGL,Sell,41,98.87,4053.67
4/11/2023,CRM,Sell,482,880.6,424449.2
4/11/2023,GOOGL,Buy,248,567.21,140668.08
4/11/2023,PG,Buy,7,727.91,5095.37
4/12/2023,PYPL,Buy,414,144.13,59669.82
4/13/2023,PG,Buy,248,754.71,187168.08
4/14/2023,NFLX,Sell,101,144.43,14587.43
4/14/2023,MSFT,Sell,177,98.03,17351.31
4/14/2023,V,Sell,27,541.05,14608.35
4/17/2023,AAPL,Buy,317,130.93,41504.81
4/17/2023,NFLX,Cash Out,174,832.57,131600.288
4/17/2023,BA,Buy,29,325.19,9430.51
4/18/2023,NVDA,Sell,412,193.53,79734.36
4/18/2023,KO,Buy,148,625.43,92563.64
4/19/2023,V,Cash Out,153,222.45,30917.94885
4/19/2023,NFLX,Sell,167,466.95,77980.65
4/19/2023,PEP,Buy,22,447.85,9852.7
4/20/2023,PEP,Sell,379,488.2,185027.8
4/21/2023,TSLA,Buy,458,708.77,324616.66
4/24/2023,AMZN,Buy,475,743.76,353286
4/25/2023,PG,Sell,199,137.89,27440.11
4/25/2023,NVDA,Sell,226,858.87,194104.62
4/25/2023,GOOGL,Buy,167,280.19,46791.73
4/25/2023,JPM,Cash Out,281,787.05,200907.1887
4/26/2023,AMZN,Buy,301,205.09,61732.09
4/26/2023,AAPL,Buy,333,583.21,194208.93
4/27/2023,AMZN,Buy,377,882.82,332823.14
4/28/2023,V,Buy,300,64.51,19353
4/28/2023,AAPL,Sell,328,679.45,222859.6
5/3/2023,GOOGL,Buy,480,88.39,42427.2
5/9/2023,KO,Buy,384,667.32,256250.88
5/10/2023,MSFT,Buy,366,313.55,114759.3
5/11/2023,PEP,Buy,250,615.35,153837.5
5/11/2023,CRM,Sell,65,900.55,58535.75
5/15/2023,MSFT,Sell,330,616.1,203313
5/15/2023,PYPL,Buy,327,724.65,236960.55
5/15/2023,CRM,Sell,466,334.81,156021.46
5/17/2023,JPM,Sell,43,492.52,21178.36
5/17/2023,CRM,Buy,372,871.35,324142.2
5/17/2023,PEP,Sell,135,174.18,23514.3
5/18/2023,WMT,Buy,192,104.9,20140.8
5/22/2023,KO,Sell,450,731.01,328954.5
5/22/2023,AAPL,Sell,280,365.42,102317.6
5/23/2023,TSLA,Sell,7,441.07,3087.49
5/23/2023,ADBE,Buy,424,861.91,365449.84
5/23/2023,CRM,Buy,307,875.35,268732.45
5/24/2023,CRM,Buy,499,892.25,445232.75
5/26/2023,GOOGL,Buy,40,441.41,17656.4
5/29/2023,GOOGL,Cash Out,444,317.96,128245.5463
5/30/2023,CRM,Sell,327,951.56,311160.12
5/30/2023,NKE,Sell,123,420.23,51688.29
5/31/2023,CRM,Sell,379,714.56,270818.24
6/5/2023,BA,Buy,321,568.92,182623.32
6/6/2023,MSFT,Sell,466,660.67,307872.22
6/7/2023,NVDA,Buy,172,462.07,79476.04
6/7/2023,NKE,Sell,436,336.23,146596.28
6/9/2023,NFLX,Sell,201,86.34,17354.34
6/13/2023,FB,Buy,36,295.03,10621.08
6/14/2023,PYPL,Sell,492,541.25,266295
6/15/2023,AAPL,Sell,226,524.1,118446.6
6/15/2023,PG,Buy,196,295.29,57876.84
6/16/2023,NFLX,Sell,312,114.88,35842.56
6/19/2023,DIS,Buy,411,358.81,147470.91
6/19/2023,WMT,Buy,93,853.35,79361.55
6/19/2023,AMZN,Buy,252,517.25,130347
6/20/2023,KO,Sell,473,500.96,236954.08
6/20/2023,DIS,Buy,257,948.7,243815.9
6/22/2023,FB,Buy,390,584.75,228052.5
6/22/2023,GOOGL,Buy,464,747.66,346914.24
6/23/2023,JPM,Sell,255,285.67,72845.85
6/26/2023,AAPL,Sell,1,490.03,490.03
6/27/2023,MSFT,Buy,343,169.61,58176.23
6/28/2023,WMT,Cash Out,374,882.11,299696.1619
6/28/2023,JPM,Buy,490,234.71,115007.9
6/29/2023,V,Buy,12,889.46,10673.52
7/4/2023,PEP,Buy,76,110.62,8407.12
7/5/2023,BA,Sell,167,932.58,155740.86
7/6/2023,V,Buy,461,348.83,160810.63
7/6/2023,NKE,Sell,192,546.3,104889.6
7/10/2023,FB,Buy,106,173.17,18356.02
7/11/2023,WMT,Sell,74,813.25,60180.5
7/12/2023,AAPL,Sell,155,410.71,63660.05
7/12/2023,NKE,Buy,413,774.26,319769.38
7/13/2023,PYPL,Sell,228,758.39,172912.92
7/14/2023,PYPL,Buy,182,837.58,152439.56
7/14/2023,PYPL,Cash Out,479,492.85,214455.46
7/14/2023,FB,Buy,73,555.11,40523.03
7/18/2023,TSLA,Sell,381,758.51,288992.31
7/18/2023,CRM,Sell,374,108.15,40448.1
7/18/2023,TSLA,Sell,427,916.7,391430.9
7/19/2023,FB,Cash Out,289,332.26,87229.37022
7/19/2023,TSLA,Buy,424,264.01,111940.24
7/25/2023,ADBE,Buy,206,71.06,14638.36
7/25/2023,PG,Buy,219,610.51,133701.69
7/25/2023,NFLX,Sell,497,163.6,81309.2
8/1/2023,NFLX,Buy,33,455.16,15020.28
8/1/2023,ADBE,Sell,369,638.43,235580.67
8/2/2023,JPM,Cash Out,90,716.91,58613.00414
8/2/2023,PEP,Buy,328,731.04,239781.12
8/4/2023,GOOGL,Buy,118,83.08,9803.44
8/7/2023,JPM,Buy,208,383.18,79701.44
8/7/2023,PEP,Buy,46,172.47,7933.62
8/7/2023,AAPL,Cash Out,126,258.39,29575.56708
8/7/2023,PEP,Buy,366,453.92,166134.72
8/8/2023,NKE,Sell,145,535.83,77695.35
8/9/2023,JPM,Sell,466,450.53,209946.98
8/10/2023,KO,Buy,30,302.46,9073.8
8/11/2023,CRM,Sell,357,845.86,301972.02
8/14/2023,NFLX,Buy,68,228.89,15564.52
8/16/2023,DIS,Buy,229,935.13,214144.77
8/21/2023,NFLX,Cash Out,118,543.46,58255.43174
8/21/2023,FB,Sell,463,201.06,93090.78
8/22/2023,PEP,Cash Out,363,296.4,97739.84766
8/22/2023,JPM,Buy,76,796.63,60543.88
8/23/2023,PG,Sell,295,980.07,289120.65
8/24/2023,PYPL,Sell,241,280.33,67559.53
8/24/2023,DIS,Sell,334,726.2,242550.8
8/25/2023,DIS,Sell,420,509.25,213885
8/25/2023,NVDA,Buy,200,534.79,106958
8/29/2023,BA,Buy,158,316.03,49932.74
8/30/2023,PYPL,Sell,154,968.87,149205.98
9/1/2023,CRM,Sell,90,424.11,38169.9
9/1/2023,BA,Sell,325,124.14,40345.5
9/5/2023,PG,Buy,308,838.77,258341.16
9/5/2023,AMZN,Buy,230,932.18,214401.4
9/6/2023,NKE,Sell,425,801.06,340450.5
9/8/2023,JPM,Buy,259,633.68,164123.12
9/11/2023,CRM,Buy,456,674.26,307462.56
9/11/2023,DIS,Buy,255,670.12,170880.6
9/13/2023,NFLX,Buy,3,288,864
9/13/2023,KO,Buy,328,91.92,30149.76
9/15/2023,ADBE,Buy,485,266.95,129470.75
9/18/2023,DIS,Sell,329,437.11,143809.19
9/19/2023,TSLA,Sell,123,894.28,109996.44
9/20/2023,ADBE,Cash Out,450,723.37,295705.7985
9/20/2023,JPM,Buy,206,594.02,122368.12
9/21/2023,NFLX,Sell,408,708.63,289121.04
9/21/2023,AAPL,Sell,380,331.67,126034.6
9/22/2023,PYPL,Buy,491,673.09,330487.19
9/25/2023,NFLX,Buy,344,774.54,266441.76
9/25/2023,BA,Sell,6,913.7,5482.2
9/25/2023,JPM,Sell,409,175.27,71685.43
9/26/2023,ADBE,Buy,314,484.98,152283.72
9/27/2023,NKE,Sell,225,851.68,191628
10/2/2023,WMT,Buy,155,487.05,75492.75
10/2/2023,FB,Buy,35,58.31,2040.85
10/2/2023,PEP,Buy,496,183.22,90877.12
10/3/2023,TSLA,Buy,150,620.73,93109.5
10/4/2023,V,Sell,210,797.77,167531.7
10/5/2023,PG,Buy,151,536.72,81044.72
10/5/2023,NKE,Sell,141,424.79,59895.39
10/5/2023,PYPL,Buy,60,448.5,26910
10/10/2023,NVDA,Sell,241,668.41,161086.81
10/10/2023,GOOGL,Buy,434,961.45,417269.3
10/13/2023,PEP,Buy,287,338.34,97103.58
10/13/2023,NVDA,Sell,104,360.2,37460.8
10/16/2023,V,Sell,79,397.05,31366.95
10/16/2023,NVDA,Buy,423,768.07,324893.61
10/17/2023,CRM,Sell,275,86.73,23850.75
10/19/2023,AMZN,Sell,40,137.82,5512.8
10/19/2023,ADBE,Buy,59,749.93,44245.87
10/20/2023,PYPL,Sell,262,399.76,104737.12
10/20/2023,DIS,Sell,247,102.89,25413.83
10/20/2023,PG,Buy,432,736.1,317995.2
10/25/2023,PYPL,Sell,295,992.67,292837.65
10/30/2023,NKE,Buy,470,762.62,358431.4
10/30/2023,PG,Sell,96,140.54,13491.84
10/31/2023,GOOGL,Sell,76,232.85,17696.6
11/1/2023,GOOGL,Sell,63,750.12,47257.56
11/1/2023,NFLX,Sell,116,369.75,42891
11/2/2023,NVDA,Buy,32,887.19,28390.08
11/3/2023,PG,Sell,132,133.97,17684.04
11/3/2023,FB,Cash Out,4,482.29,1752.488117
11/3/2023,PYPL,Buy,191,526.04,100473.64
11/6/2023,MSFT,Sell,307,893.39,274270.73
11/7/2023,ADBE,Sell,240,202.16,48518.4
11/13/2023,TSLA,Sell,57,364.24,20761.68
11/13/2023,KO,Sell,223,165.57,36922.11
11/13/2023,CRM,Sell,179,85.82,15361.78
11/15/2023,PG,Buy,78,861.3,67181.4
11/15/2023,NFLX,Sell,374,772.77,289015.98
11/15/2023,NVDA,Buy,355,841.58,298760.9
11/15/2023,MSFT,Buy,202,831.11,167884.22
11/15/2023,NKE,Sell,295,236.4,69738
11/15/2023,KO,Sell,440,731.27,321758.8
11/16/2023,NFLX,Buy,486,64.9,31541.4
11/16/2023,FB,Sell,449,237.99,106857.51
11/17/2023,JPM,Cash Out,284,416.17,107368.2672
11/17/2023,ADBE,Buy,479,609.48,291940.92
11/20/2023,AMZN,Buy,296,741.7,219543.2
11/20/2023,AMZN,Sell,24,491.48,11795.52
11/20/2023,PYPL,Buy,393,119.27,46873.11
11/20/2023,DIS,Buy,80,118.41,9472.8
11/20/2023,AMZN,Buy,321,853.38,273934.98
11/21/2023,AAPL,Sell,480,936.63,449582.4
11/21/2023,WMT,Buy,208,420.63,87491.04
11/23/2023,DIS,Buy,403,401.32,161731.96
11/23/2023,ADBE,Sell,380,503.36,191276.8
11/24/2023,DIS,Sell,96,565.21,54260.16
11/27/2023,V,Buy,440,328,144320
11/28/2023,NFLX,Sell,273,457.77,124971.21
11/28/2023,JPM,Buy,49,229.63,11251.87
11/28/2023,NVDA,Buy,28,936.74,26228.72
11/29/2023,KO,Buy,408,188.22,76793.76
11/30/2023,MSFT,Buy,269,355.72,95688.68
12/11/2023,WMT,Sell,389,409.61,159338.29
12/12/2023,PYPL,Sell,139,870.61,121014.79
12/12/2023,TSLA,Buy,462,231.55,106976.1
12/14/2023,PEP,Buy,170,875.07,148761.9
12/15/2023,NKE,Buy,423,426.92,180587.16
12/18/2023,JPM,Sell,413,434.98,179646.74
12/19/2023,PEP,Cash Out,357,791.86,256804.9881
12/19/2023,KO,Sell,325,695.93,226177.25
12/20/2023,AMZN,Sell,461,188.44,86870.84
12/20/2023,AMZN,Buy,318,468.12,148862.16
12/21/2023,BA,Sell,476,211.49,100669.24
12/25/2023,NFLX,Buy,449,244.82,109924.18
12/25/2023,GOOGL,Sell,133,887.02,117973.66
12/26/2023,FB,Buy,67,787.23,52744.41
12/26/2023,AMZN,Cash Out,36,114.49,3744.18147
12/26/2023,CRM,Buy,182,251.23,45723.86
12/26/2023,TSLA,Buy,313,108.37,33919.81
12/26/2023,GOOGL,Cash Out,256,124.47,28946.19532
12/27/2023,MSFT,Sell,475,862.03,409464.25
12/28/2023,NKE,Buy,108,651.46,70357.68
12/29/2023,NKE,Buy,259,780.59,202172.81
12/29/2023,AMZN,Buy,418,754.59,315418.62
12/29/2023,PEP,Buy,46,188.11,8653.06
12/29/2023,GOOGL,Sell,108,684.92,73971.36
1/1/2024,AMZN,Cash Out,399,287.44,104185.4168
